name,city,countryOne,code,lat,lon,type,countryTwo,id
Rankin Inlet Airport,Rankin Inlet,Canada,YRT,62.81140137,-92.11579895,air,,2faf46da-eeff-4c15-9969-f3d4ce86b1da
Sudbury Airport,Sudbury,Canada,YSB,46.625,-80.79889679,air,,64b3b7f1-3772-4dbf-89e2-adfc8773bf4d
Sherbrooke Airport,Sherbrooke,Canada,YSC,45.43859863,-71.69139862,air,,5f56d23e-ca83-47e0-a16b-1e999f3b2b25
Saint John Airport,St. John,Canada,YSJ,45.31610107,-65.89029694,air,,ea781b03-25d5-4f02-95f2-8293fc9bc82a
Fort Smith Airport,Fort Smith,Canada,YSM,60.02030182,-111.961998,air,,b848a224-9dde-484c-b430-2542b0335fe3
Nanisivik Airport,Nanisivik,Canada,YSR,72.982201,-84.613602,air,,7dca1450-b76d-4dba-8f85-95b967abdb77
Summerside Airport,Summerside,Canada,YSU,46.44060135,-63.83359909,air,,62a23c17-9860-4a92-8455-f218ba046294
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,71.99389648,-125.2429962,air,,570b4ed3-53db-43b7-b649-3fe1fd0aa0f4
Cape Dorset Airport,Cape Dorset,Canada,YTE,64.23000336,-76.52670288,air,,883bdee3-a817-407b-87fa-01d784be1cac
Thompson Airport,Thompson,Canada,YTH,55.80110168,-97.86419678,air,,f5b6ac06-90c9-4a9d-b412-8285cef82ccb
CFB Trenton,Trenton,Canada,YTR,44.1189003,-77.52809906,air,,fe16a26f-fb06-4f56-b47d-49ef15f718f1
Timmins/Victor M. Power,Timmins,Canada,YTS,48.56969833,-81.37670136,air,,adf8106c-07fa-4bb7-b0a3-888acd8a5aab
Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,43.627499,-79.396202,air,,4c88f908-c939-4f4b-a9fa-d3b540ae136a
Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,69.4332962,-133.026001,air,,cd13523d-d633-4964-88a2-b6a952a9fe04
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.47060013,-73.74079895,air,,1a86b54f-d125-43c8-99aa-09d67c7591b5
